Index,Dimension,Component,Question,Explanatory Notes
Haz1,Hazard Identification,Comprehensive Hazard Coverage,Has the plan identified all major natural hazards relevant to the municipality’s geography and climate conditions?,
Haz2,Hazard Identification,Locally Significant Hazards,Are locally significant hazards included even if they are not among the most severe statewide hazards?,
Haz3,Hazard Identification,Future Climate Conditions,"Does the plan consider both current and future climate-driven changes in hazard frequency, intensity, duration, or geographic extent?",
Haz4,Hazard Identification,Compound and Cascading Hazards,"Does the plan evaluate compound or cascading hazards, such as flooding combined with power outages, heat combined with poor air quality, or coastal flooding combined with storm surge?",
Haz5,Hazard Identification,Hazard Inclusion and Exclusion Rationale,Does the plan explain why certain hazards were included or excluded from analysis?,
Haz6,Asset Inventory and Exposure,Critical Asset Inventory,"Has the plan identified and mapped critical facilities, infrastructure, natural resources, and community assets?",
Haz7,Asset Inventory and Exposure,Essential Community Facilities,"Does the asset inventory include affordable housing, public housing, schools, childcare facilities, healthcare facilities, emergency response facilities, transportation infrastructure, water and wastewater infrastructure, energy infrastructure, and community cooling or warming centers?",
Haz8,Asset Inventory and Exposure,Assets Serving Priority Populations,"Does the plan identify assets that serve Environmental Justice communities and low-income, older adult, disabled, immigrant, or linguistically isolated populations?",
Haz9,Asset Inventory and Exposure,Natural and Nature-Based Assets,"Are natural and nature-based assets included, such as wetlands, floodplains, urban forests, coastal buffers, and open space?",
Haz10,Asset Inventory and Exposure,Criticality Assessment,"Does the plan identify which assets are most critical to life safety, public health, and community functioning during and after disasters?",
Haz11,Asset Inventory and Exposure,Exposure Quantification,"Does the plan quantify the number of people, buildings, facilities, and acres exposed to each hazard?",
Haz12,Data Quality and Data Sources,Source Documentation,Are the data sources used clearly documented and cited?,
Haz13,Data Quality and Data Sources,Data Currency,Were the most recent datasets available at the time of plan development used?,
Haz14,Data Quality and Data Sources,Best Available Local and State Data,Does the plan use state-specific or locally developed hazard datasets when available rather than relying exclusively on national datasets?,
Haz15,Data Quality and Data Sources,Flood Risk Data,"For flooding analyses, does the plan incorporate the best available flood data, including state flood-risk tools, watershed studies, or local modeling where available?",
Haz16,Data Quality and Data Sources,Data Limitations and Uncertainty,Does the plan explain limitations and uncertainties associated with the data sources used?,
Haz17,Data Quality and Data Sources,Demographic Data Currency,Are demographic and socioeconomic datasets sufficiently current to reflect recent community conditions?,
Haz18,Data Quality and Data Sources,Historical and Projected Evidence,Are historical disaster records used alongside future climate projections?,
Haz19,Hazard Measurement and Modeling,Risk Measurement Method,Does the plan clearly explain how hazard risk was measured?,
Haz20,Hazard Measurement and Modeling,Model Assumptions,Are assumptions used in risk calculations transparently documented?,
Haz21,Hazard Measurement and Modeling,Risk Rating Method,"Does the plan explain how hazard probability, severity, exposure, and vulnerability were combined to generate risk ratings?",
Haz22,Hazard Measurement and Modeling,Future Climate Projections,Does the plan use future climate projections when assessing long-term risk?,
Haz23,Hazard Measurement and Modeling,Planning Horizons,"Are planning horizons clearly specified, such as current conditions, 2050, 2070, or 2100?",
Haz24,Hazard Measurement and Modeling,Technical Appropriateness,Are the methods used to model hazards technically appropriate and supported by scientific evidence?,
Haz25,Hazard Measurement and Modeling,Risk Concept Clarity,"Does the plan distinguish among hazard exposure, vulnerability, and risk?",
Haz26,Hazard Measurement and Modeling,Projection Uncertainty,Are uncertainties in climate projections explicitly discussed?,
Haz27,Vulnerability Assessment,Population Vulnerability by Hazard,Does the plan evaluate which populations are most vulnerable to each hazard?,
Haz28,Vulnerability Assessment,Social Vulnerability Indicators,"Does the assessment incorporate social vulnerability indicators such as income, age, disability status, race and ethnicity, language isolation, housing tenure, and health status?",
Haz29,Vulnerability Assessment,Cumulative Vulnerability,Does the plan identify neighborhoods experiencing multiple overlapping vulnerabilities?,
Haz30,Vulnerability Assessment,Spatial Analysis of Vulnerability,Does the plan map social vulnerability alongside hazard exposure?,
Haz31,Vulnerability Assessment,Displacement and Economic Risk,"Does the plan consider the risk of displacement, housing instability, or economic disruption resulting from climate hazards?",
Haz32,Vulnerability Assessment,Public Health Impacts,Does the plan assess public health impacts associated with identified hazards?,
Haz33,Risk Prioritization,Transparent Prioritization Process,Does the plan provide a transparent process for prioritizing hazards?,
Haz34,Risk Prioritization,Prioritization Criteria,Are prioritization criteria clearly defined?,
Haz35,Risk Prioritization,Likelihood and Consequence,Are both likelihood and consequence considered in prioritization?,
Haz36,Risk Prioritization,Equity in Prioritization,Are impacts to vulnerable populations weighted or considered separately in prioritization methods?,
Haz37,Risk Prioritization,"Highest-Risk People, Assets, and Systems","Does the plan identify which assets, populations, and systems face the highest overall risk?",
Haz38,Risk Prioritization,Future Conditions in Prioritization,Are future climate conditions incorporated into prioritization decisions?,
Haz39,Review of Inputs and Assumptions,Input Data Quality Review,Does the plan critically evaluate the quality and completeness of its input datasets?,
Haz40,Review of Inputs and Assumptions,Data Gaps,Does the plan identify important data gaps?,
Haz41,Review of Inputs and Assumptions,Expert and Stakeholder Inputs,Are expert judgments and stakeholder inputs documented?,
Haz42,Review of Inputs and Assumptions,Local Knowledge,Does the plan explain how local knowledge influenced hazard identification and risk assessment?,
Haz43,Review of Inputs and Assumptions,Municipal and Utility Consultation,"Were municipal departments, utility providers, public health agencies, and emergency managers consulted when identifying hazards and assets?",
Haz44,Review of Inputs and Assumptions,Data and Assessment Updates,Does the plan include a process for updating datasets and revising risk assessments as better information becomes available?,
Haz45,Overall Assessment,Missing Hazards,"Based on available evidence, are any significant hazards missing from the assessment?",
Haz46,Overall Assessment,Missing Critical Assets,"Based on available evidence, are any critical community assets missing from the assessment?",
Haz47,Overall Assessment,Opportunities to Improve Accuracy,"Are there opportunities to improve the accuracy of risk estimates through better datasets, updated modeling, or additional local analysis?",
Haz48,Overall Assessment,Decision-Usefulness,Does the risk assessment appear sufficient to support prioritization of mitigation actions and funding decisions?,
Haz49,Advocate Lens,Hazard and Social Vulnerability Overlap,Does the plan identify where vulnerable populations and high-risk physical hazards overlap?,
Haz50,Advocate Lens,Equitable Investment Prioritization,Does the plan prioritize mitigation investments in areas facing both high hazard exposure and high social vulnerability?,
Haz51,Advocate Lens,Historically Underserved Neighborhoods,Does the plan evaluate whether historically underserved neighborhoods have received proportional attention in the risk assessment?,
Haz52,Advocate Lens,Community Assets and Social Infrastructure,"Does the plan recognize community assets and social networks as resilience resources, not just physical infrastructure?",
Haz53,Advocate Lens,Community-Generated Data,"Does the plan incorporate local, community-generated, or resident-collected data where available?",
